task,model,status_group,count,rate
generation,qwen3-coder-480b-a35b-instruct,Accepted,53022,0.8902283411685695
generation,qwen3-coder-480b-a35b-instruct,CompileError,786,0.013196776359973137
generation,qwen3-coder-480b-a35b-instruct,MemoryLimitExceeded,25,0.00041974479516453995
generation,qwen3-coder-480b-a35b-instruct,RuntimeError,822,0.013801208865010075
generation,qwen3-coder-480b-a35b-instruct,TimeLimitExceeded,1479,0.024832102081934183
generation,qwen3-coder-480b-a35b-instruct,WrongAnswer,3426,0.05752182672934856
translation,claude-3-5-haiku-20241022,Accepted,10477,0.3741785714285714
translation,claude-3-5-haiku-20241022,CompileError,9856,0.352
translation,claude-3-5-haiku-20241022,MemoryLimitExceeded,19,0.0006785714285714286
translation,claude-3-5-haiku-20241022,RuntimeError,4233,0.15117857142857144
translation,claude-3-5-haiku-20241022,TimeLimitExceeded,495,0.01767857142857143
translation,claude-3-5-haiku-20241022,WrongAnswer,2920,0.10428571428571429
translation,deepseek-v3.2,Accepted,12215,0.43625
translation,deepseek-v3.2,CompileError,11614,0.4147857142857143
translation,deepseek-v3.2,MemoryLimitExceeded,9,0.0003214285714285714
translation,deepseek-v3.2,RuntimeError,3553,0.12689285714285714
translation,deepseek-v3.2,TimeLimitExceeded,44,0.0015714285714285715
translation,deepseek-v3.2,WrongAnswer,565,0.020178571428571428
translation,glm-4,Accepted,15141,0.54075
translation,glm-4,CompileError,1810,0.06464285714285714
translation,glm-4,MemoryLimitExceeded,18,0.0006428571428571428
translation,glm-4,RuntimeError,1407,0.05025
translation,glm-4,TimeLimitExceeded,245,0.00875
translation,glm-4,WrongAnswer,9379,0.3349642857142857
translation,gpt-4o,Accepted,17295,0.6176785714285714
translation,gpt-4o,CompileError,3890,0.13892857142857143
translation,gpt-4o,MemoryLimitExceeded,55,0.0019642857142857144
translation,gpt-4o,RuntimeError,3719,0.13282142857142856
translation,gpt-4o,TimeLimitExceeded,293,0.010464285714285714
translation,gpt-4o,WrongAnswer,2748,0.09814285714285714
translation,qwen3-coder-480b-a35b-instruct,Accepted,24433,0.8726071428571428
translation,qwen3-coder-480b-a35b-instruct,CompileError,319,0.011392857142857142
translation,qwen3-coder-480b-a35b-instruct,MemoryLimitExceeded,27,0.0009642857142857143
translation,qwen3-coder-480b-a35b-instruct,RuntimeError,249,0.008892857142857143
translation,qwen3-coder-480b-a35b-instruct,TimeLimitExceeded,853,0.030464285714285715
translation,qwen3-coder-480b-a35b-instruct,WrongAnswer,2119,0.07567857142857143
