model,qid,language,n_candidates,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5
claude-3-5-haiku-20241022,1004,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1005,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1005,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1006,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1006,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1006,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1009,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1009,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1010,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1010,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1010,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1011,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1011,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1011,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1011,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1011,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1011,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1011,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1011,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1012,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1012,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1012,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1012,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1012,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1012,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1012,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1012,Rust,5,0,0,1,1,1
claude-3-5-haiku-20241022,1013,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1013,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1013,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1016,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1016,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1016,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1016,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1016,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1016,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1016,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1016,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1017,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1017,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1017,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1017,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1017,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1017,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1017,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1017,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1018,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1018,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1018,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1018,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1018,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1018,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1018,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1018,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1021,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1021,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1021,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1021,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1021,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1021,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1021,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1021,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1023,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1023,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1023,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1024,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1024,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,1024,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1024,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1024,Java,5,0,0,1,1,1
claude-3-5-haiku-20241022,1024,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1024,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1024,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1025,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1025,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1025,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1027,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1027,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1027,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1027,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1027,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1027,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1027,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1027,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1030,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1030,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1030,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1031,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1031,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1031,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1031,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1031,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1031,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1031,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1031,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1032,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1032,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1032,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,C,5,0,1,1,1,1
claude-3-5-haiku-20241022,1033,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1033,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1033,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1034,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1034,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1034,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1034,Golang,5,0,0,0,0,1
claude-3-5-haiku-20241022,1034,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1034,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1034,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1034,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1036,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1036,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1036,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1036,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1036,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1036,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1036,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1036,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1037,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1040,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1040,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1040,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1040,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1040,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1040,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1040,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1040,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1041,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1041,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1042,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,C++,5,0,0,0,0,1
claude-3-5-haiku-20241022,1042,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1042,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1043,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1043,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1043,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1044,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1044,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1044,C++,5,0,0,1,1,1
claude-3-5-haiku-20241022,1044,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1044,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1044,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1044,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1044,Rust,5,0,0,0,0,1
claude-3-5-haiku-20241022,1046,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1046,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1046,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1046,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1046,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1046,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1046,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1046,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1047,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1047,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1048,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1048,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1048,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1049,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1049,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1049,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1049,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1049,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1049,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1049,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1049,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1051,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1051,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1051,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1051,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1051,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1051,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1051,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1051,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1052,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1052,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1052,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1052,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1052,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1052,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1052,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1052,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1053,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1053,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1053,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1053,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1053,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1053,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1053,Python3,5,0,0,1,1,1
claude-3-5-haiku-20241022,1053,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1054,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1054,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,1054,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1054,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1054,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1054,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1054,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1054,Rust,5,0,0,0,1,1
claude-3-5-haiku-20241022,1061,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1071,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1072,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1072,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1072,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1073,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1073,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1073,Rust,5,0,0,0,0,1
claude-3-5-haiku-20241022,1078,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1078,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1078,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1078,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1078,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1078,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1078,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1078,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1079,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1079,C#,5,0,0,0,0,1
claude-3-5-haiku-20241022,1079,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1079,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1079,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1079,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1079,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1079,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1081,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1081,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1089,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1089,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1089,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1090,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1090,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1092,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1092,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1092,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1092,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1092,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1092,JavaScript,5,1,1,1,1,1
