qid,reference_language_count,after_generation_language_count,after_all_language_count,is_complete_reference,is_complete_after_all,languages_reference,languages_after_generation,languages_after_all,new_languages_from_generation,new_languages_from_translation,missing_languages_after_all
41,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
43,3,8,8,0,1,C|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|JavaScript|Golang|Rust,,
44,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
45,7,8,8,0,1,C|C++|C#|Java|JavaScript|Python3|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang,,
46,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
47,8,8,8,1,1,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,,,
49,5,8,8,0,1,C++|Java|JavaScript|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|Rust,,
50,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
53,3,8,8,0,1,C|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|Python3|Golang|Rust,,
55,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
56,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
57,5,8,8,0,1,C|C++|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Rust,,
58,4,8,8,0,1,C++|C#|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Python3|Golang|Rust,,
60,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
65,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
66,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
67,1,8,8,0,1,Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|JavaScript|Python3|Golang|Rust,,
68,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
69,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
70,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
71,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
72,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
75,5,8,8,0,1,C|C++|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Rust,,
76,1,8,8,0,1,Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|JavaScript|Python3|Golang|Rust,,
77,3,8,8,0,1,C|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|Python3|Golang|Rust,,
78,4,8,8,0,1,C|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|Python3|Rust,,
80,7,8,8,0,1,C|C++|C#|Java|JavaScript|Python3|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang,,
81,7,8,8,0,1,C|C++|C#|Java|JavaScript|Python3|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang,,
87,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
88,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
89,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
90,7,8,8,0,1,C|C++|C#|Java|JavaScript|Python3|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang,,
91,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
93,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
115,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
120,8,8,8,1,1,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,,,
122,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
123,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
125,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
126,2,7,7,0,0,C++|Java,C|C++|Java|JavaScript|Python3|Golang|Rust,C|C++|Java|JavaScript|Python3|Golang|Rust,C|JavaScript|Python3|Golang|Rust,,C#
127,5,8,8,0,1,C|C++|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Rust,,
128,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
131,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
132,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
134,8,8,8,1,1,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,,,
135,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
136,1,8,8,0,1,Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|JavaScript|Python3|Golang|Rust,,
137,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
139,2,8,8,0,1,C|Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|JavaScript|Python3|Golang|Rust,,
140,6,8,8,0,1,C|C++|Java|JavaScript|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Rust,,
146,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
150,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
151,4,8,8,0,1,C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|Golang|Rust,,
152,1,8,8,0,1,Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|JavaScript|Python3|Golang|Rust,,
153,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
154,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
155,4,8,8,0,1,C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|Golang|Rust,,
162,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
164,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
165,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
166,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
167,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
168,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
169,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
171,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
172,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
179,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
187,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
188,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
189,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
190,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
191,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
198,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
201,3,8,8,0,1,C|C++|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Java|Python3|Golang|Rust,,
204,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
205,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
207,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
208,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
209,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
210,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
211,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
213,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
214,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
215,2,8,8,0,1,C|Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|JavaScript|Python3|Golang|Rust,,
216,4,8,8,0,1,C|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|Python3|Rust,,
217,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
219,7,8,8,0,1,C|C++|C#|Java|JavaScript|Python3|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang,,
220,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
224,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
225,4,8,8,0,1,C|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C++|C#|JavaScript|Rust,,
227,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
228,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
229,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
231,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
232,5,8,8,0,1,C|C++|C#|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Python3|Golang|Rust,,
233,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
238,1,8,8,0,1,C++,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|Java|JavaScript|Python3|Golang|Rust,,
239,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
241,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
242,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
258,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
260,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
263,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
264,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
268,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
