tag,n_tasks,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_5_gain
Memoization,1760,0.45795454545454545,0.5170454545454546,0.5431818181818182,0.5579545454545455,0.5693181818181818,0.11136363636363639
Merge Sort,480,0.46875,0.5520833333333334,0.6020833333333333,0.6229166666666667,0.6375,0.16874999999999996
Monotonic Queue,960,0.45,0.5125,0.5427083333333333,0.5604166666666667,0.5760416666666667,0.12604166666666666
Monotonic Stack,2160,0.5597222222222222,0.6027777777777777,0.6291666666666667,0.6458333333333334,0.6532407407407408,0.09351851851851856
Number Theory,1680,0.5404761904761904,0.5898809523809524,0.6178571428571429,0.6297619047619047,0.6416666666666667,0.10119047619047628
Ordered Set,2480,0.3963709677419355,0.4596774193548387,0.48870967741935484,0.5,0.5125,0.11612903225806448
Prefix Sum,8400,0.5082142857142857,0.5582142857142857,0.5810714285714286,0.594047619047619,0.6047619047619047,0.096547619047619
Probability and Statistics,400,0.5275,0.6,0.63,0.6425,0.65,0.12250000000000005
Queue,2320,0.4987068965517241,0.5538793103448276,0.5788793103448275,0.5926724137931034,0.6047413793103448,0.10603448275862065
Quickselect,400,0.5775,0.6325,0.65,0.665,0.685,0.10750000000000004
Radix Sort,160,0.5375,0.59375,0.65,0.66875,0.68125,0.14375000000000004
Randomized,720,0.6569444444444444,0.6972222222222222,0.7097222222222223,0.7180555555555556,0.7277777777777777,0.0708333333333333
Recursion,2000,0.555,0.61,0.6375,0.656,0.667,0.11199999999999999
Rejection Sampling,160,0.6375,0.66875,0.6875,0.6875,0.7,0.0625
Reservoir Sampling,160,0.6375,0.68125,0.69375,0.70625,0.71875,0.08125000000000004
Rolling Hash,1040,0.42403846153846153,0.47692307692307695,0.5067307692307692,0.5230769230769231,0.5375,0.11346153846153845
Segment Tree,2400,0.31958333333333333,0.36583333333333334,0.39958333333333335,0.4125,0.4245833333333333,0.10499999999999998
Shortest Path,240,0.26666666666666666,0.32083333333333336,0.325,0.35,0.3541666666666667,0.08750000000000002
Simulation,7280,0.6494505494505495,0.7028846153846153,0.7256868131868132,0.7406593406593407,0.7509615384615385,0.10151098901098898
Sliding Window,7280,0.5123626373626373,0.5703296703296703,0.5965659340659341,0.6152472527472528,0.6258241758241758,0.1134615384615385
Sort,80,0.275,0.3125,0.375,0.425,0.4375,0.16249999999999998
Sorting,19600,0.5865816326530612,0.6437755102040816,0.6681632653061225,0.6821938775510205,0.691530612244898,0.1049489795918368
Stack,6720,0.5511904761904762,0.6007440476190476,0.625,0.6418154761904762,0.6522321428571428,0.10104166666666659
String,38080,0.5908876050420168,0.6461397058823529,0.6692489495798319,0.6832983193277311,0.6934086134453782,0.10252100840336142
String Matching,1200,0.5858333333333333,0.6275,0.6475,0.6608333333333334,0.675,0.08916666666666673
Suffix Array,240,0.12083333333333333,0.15416666666666667,0.17916666666666667,0.20833333333333334,0.225,0.10416666666666667
Sweep Line,80,0.275,0.35,0.375,0.375,0.4125,0.13749999999999996
Topological Sort,320,0.609375,0.653125,0.684375,0.690625,0.7,0.09062499999999996
Tree,320,0.528125,0.578125,0.596875,0.6125,0.625,0.09687500000000004
Trie,2240,0.5366071428571428,0.5995535714285715,0.6236607142857142,0.6424107142857143,0.6540178571428571,0.11741071428571426
Two Pointers,10080,0.6208333333333333,0.6717261904761904,0.694047619047619,0.705952380952381,0.716468253968254,0.09563492063492063
Union-Find,1520,0.48289473684210527,0.5401315789473684,0.5736842105263158,0.5888157894736842,0.6013157894736842,0.11842105263157898
