model,qid,source_lang,target_lang,n_candidates,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5
claude-3-5-haiku-20241022,1103,C#,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,C#,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C#,Golang,5,0,0,1,1,1
claude-3-5-haiku-20241022,1103,C#,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C#,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,C#,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C#,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,C++,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,C++,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C++,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,C++,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Golang,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Golang,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Golang,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Golang,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Golang,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Java,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Java,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Java,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Java,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Java,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,JavaScript,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,JavaScript,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,JavaScript,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,JavaScript,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,JavaScript,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Python3,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Python3,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Python3,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Python3,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Python3,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Python3,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Rust,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,Rust,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Rust,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Rust,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,Rust,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,Rust,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,Rust,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,C,C#,5,0,0,0,1,1
claude-3-5-haiku-20241022,1146,C,C++,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,C,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,C,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,C#,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,C#,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,C#,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C#,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C#,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,C#,Python3,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,C#,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C++,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,C++,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C++,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C++,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,C++,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,C++,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Golang,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Golang,C#,5,0,0,0,1,1
claude-3-5-haiku-20241022,1146,Golang,C++,5,0,0,0,1,1
claude-3-5-haiku-20241022,1146,Golang,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Golang,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Golang,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Golang,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Java,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Java,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Java,Golang,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Java,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,JavaScript,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,JavaScript,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,JavaScript,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,JavaScript,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,JavaScript,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,JavaScript,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Python3,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Python3,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Python3,C++,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,Python3,Golang,5,0,0,1,1,1
claude-3-5-haiku-20241022,1146,Python3,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Python3,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Rust,C,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Rust,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1146,Rust,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Rust,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Rust,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1146,Rust,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1146,Rust,Python3,5,0,0,1,1,1
claude-3-5-haiku-20241022,120,C,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C,Python3,5,0,0,0,0,1
claude-3-5-haiku-20241022,120,C,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C#,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C#,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,C#,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C#,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C#,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,C#,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,C#,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C++,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C++,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C++,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,C++,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Golang,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Golang,C++,5,0,0,1,1,1
claude-3-5-haiku-20241022,120,Golang,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Golang,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Golang,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Java,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Java,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Java,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,JavaScript,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,JavaScript,C++,5,0,0,0,1,1
claude-3-5-haiku-20241022,120,JavaScript,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,JavaScript,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,JavaScript,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Python3,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Python3,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Python3,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Python3,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Python3,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Python3,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Rust,C,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Rust,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Rust,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,120,Rust,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Rust,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,120,Rust,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,120,Rust,Python3,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,C,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,C,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,C,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,C#,C,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,C#,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1227,C#,Golang,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,C#,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1227,C#,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,C#,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C#,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,C++,C#,5,0,0,0,1,1
claude-3-5-haiku-20241022,1227,C++,Golang,5,0,0,0,1,1
claude-3-5-haiku-20241022,1227,C++,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C++,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C++,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Golang,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Golang,C++,5,0,0,0,0,1
claude-3-5-haiku-20241022,1227,Golang,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Golang,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,Golang,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Java,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Java,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Java,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Java,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,JavaScript,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1227,JavaScript,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,JavaScript,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1227,JavaScript,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,JavaScript,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Python3,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Python3,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,Python3,C++,5,0,0,0,0,1
claude-3-5-haiku-20241022,1227,Python3,Golang,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,Python3,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Python3,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1227,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Rust,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Rust,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Rust,C++,5,0,0,0,1,1
claude-3-5-haiku-20241022,1227,Rust,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1227,Rust,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1227,Rust,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1227,Rust,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C#,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C#,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C#,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C#,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C#,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C#,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C#,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C++,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C++,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C++,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,C++,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Golang,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,Golang,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1277,Golang,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,Golang,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Golang,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1277,JavaScript,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1277,JavaScript,C++,5,1,1,1,1,1
